"路线编号","出发站","抵达站","出发站纬度","出发站经度","抵达站纬度","抵达站经度","分段列","顺序列"
C1,LC1-1,LC1-2,51.496557,-0.143703,51.495774,-0.145363,1,17439
C1,LC1-2,LC1-3,51.495774,-0.145363,51.492085,-0.148091,1,17440
C1,LC1-3,LC1-4,51.492085,-0.148091,51.490737,-0.151603,1,17441
C1,LC1-4,LC1-5,51.490737,-0.151603,51.489905,-0.156448,1,17442
C1,LC1-5,LC1-6,51.489905,-0.156448,51.491467,-0.157408,1,17443
C1,LC1-6,LC1-7,51.491467,-0.157408,51.493429,-0.158049,1,17444
C1,LC1-7,LC1-8,51.493429,-0.158049,51.496626,-0.158914,1,17445
C1,LC1-8,LC1-9,51.496626,-0.158914,51.500816,-0.160085,1,17446
C1,LC1-9,LC1-10,51.500816,-0.160085,51.500358,-0.162366,1,17447
C1,LC1-10,LC1-11,51.500358,-0.162366,51.499288,-0.164080,1,17448
C1,LC1-11,LC1-12,51.499288,-0.164080,51.497434,-0.167483,1,17449
C1,LC1-12,LC1-13,51.497434,-0.167483,51.496346,-0.169803,1,17450
C1,LC1-13,LC1-14,51.496346,-0.169803,51.494531,-0.174529,1,17451
C1,LC1-14,LC1-15,51.494531,-0.174529,51.491792,-0.178772,1,17452
C1,LC1-15,LC1-16,51.491792,-0.178772,51.491124,-0.180355,1,17453
C1,LC1-16,LC1-17,51.491124,-0.180355,51.490826,-0.184328,1,17454
C1,LC1-17,LC1-18,51.490826,-0.184328,51.490401,-0.186534,1,17455
C1,LC1-18,LC1-19,51.490401,-0.186534,51.489227,-0.190831,1,17456
C1,LC1-19,LC1-20,51.489227,-0.190831,51.48924,-0.194013,1,17457
C1,LC1-20,LC1-21,51.48924,-0.194013,51.490527,-0.196426,1,17458
C1,LC1-21,LC1-22,51.490527,-0.196426,51.493326,-0.201285,1,17459
C1,LC1-22,LC1-23,51.493326,-0.201285,51.494393,-0.201041,1,17460
C1,LC1-23,LC1-24,51.494393,-0.201041,51.496137,-0.196924,1,17461
C1,LC1-24,LC1-25,51.496137,-0.196924,51.497961,-0.198005,1,17462
C1,LC1-25,LC1-26,51.497961,-0.198005,51.498772,-0.199255,1,17463
C1,LC1-26,LC1-27,51.498772,-0.199255,51.497536,-0.203151,1,17464
C1,LC1-27,LC1-28,51.497536,-0.203151,51.497086,-0.206641,1,17465
C1,LC1-28,LC1-29,51.497086,-0.206641,51.498822,-0.208993,1,17466
C1,LC1-29,LC1-30,51.498822,-0.208993,51.500658,-0.211471,1,17467
C1,LC1-30,LC1-31,51.500658,-0.211471,51.502109,-0.213417,1,17468
C1,LC1-31,LC1-32,51.502109,-0.213417,51.50344,-0.215209,1,17469
C1,LC1-32,LC1-33,51.50344,-0.215209,51.505409,-0.218129,1,17470
C1,LC1-33,LC1-34,51.505409,-0.218129,51.508807,-0.224006,1,17471
C1,LC1-34,LC1-35,51.508807,-0.224006,,,1,17472
2,L2-1,L2-2,51.522413,-0.162674,51.521326,-0.157038,1,4747
2,L2-2,L2-3,51.521326,-0.157038,51.518609,-0.155808,1,4748
2,L2-3,L2-4,51.518609,-0.155808,51.514624,-0.154008,1,4749
2,L2-4,L2-5,51.514624,-0.154008,51.512461,-0.157713,1,4750
2,L2-5,L2-6,51.512461,-0.157713,51.508246,-0.153906,1,4751
2,L2-6,L2-7,51.508246,-0.153906,51.505474,-0.150891,1,4752
2,L2-7,L2-8,51.505474,-0.150891,51.502089,-0.150654,1,4753
2,L2-8,L2-9,51.502089,-0.150654,51.499284,-0.147843,1,4754
2,L2-9,L2-10,51.499284,-0.147843,51.495931,-0.142216,1,4755
2,L2-10,L2-11,51.495931,-0.142216,51.493345,-0.139108,1,4756
2,L2-11,L2-12,51.493345,-0.139108,51.491382,-0.134982,1,4757
2,L2-12,L2-13,51.491382,-0.134982,51.489847,-0.131746,1,4758
2,L2-13,L2-14,51.489847,-0.131746,51.4855,-0.124189,1,4759
2,L2-14,L2-15,51.4855,-0.124189,51.483539,-0.123031,1,4760
2,L2-15,L2-16,51.483539,-0.123031,51.481897,-0.124380,1,4761
2,L2-16,L2-17,51.481897,-0.124380,51.479767,-0.123920,1,4762
2,L2-17,L2-18,51.479767,-0.123920,51.476814,-0.123119,1,4763
2,L2-18,L2-19,51.476814,-0.123119,51.473879,-0.122361,1,4764
2,L2-19,L2-20,51.473879,-0.122361,51.471554,-0.121521,1,4765
2,L2-20,L2-21,51.471554,-0.121521,51.469639,-0.119843,1,4766
2,L2-21,L2-22,51.469639,-0.119843,51.468373,-0.118815,1,4767
2,L2-22,L2-23,51.468373,-0.118815,51.466308,-0.116812,1,4768
2,L2-23,L2-24,51.466308,-0.116812,51.465194,-0.115217,1,4769
2,L2-24,L2-25,51.465194,-0.115217,51.461912,-0.115237,1,4770
