Month,NumberClients
Jul-16,22433
Aug-16,22612
Sep-16,22660
Oct-16,22380
Nov-16,22545
Dec-16,22903
Jan-17,22843
Feb-17,22595
Mar-17,22078
Apr-17,21942
May-17,21855
Jun-17,21720
Jul-17,21578
Aug-17,21551
Sep-17,21501
Oct-17,21451
Nov-17,21646
Dec-17,22352
Jan-18,22460
Feb-18,22355
Mar-18,22102
Apr-18,22133
May-18,22028
Jun-18,22109
Jul-18,22024
Aug-18,22188
Sep-18,22230
Oct-18,22034
Nov-18,22059
Dec-18,22776
Jan-19,22892
Feb-19,22703
Mar-19,22472
Apr-19,22265
May-19,22345
Jun-19,22454
Jul-19,22334
Aug-19,22575
Sep-19,22682
Oct-19,22696
